"Title","Author","Recipient","Date","","","From","","","To","Collection"
"Carpenter14"," Nancy H. Holleman "," Thomas  Carpenter ","November 24, 1868","","White County","AR","","Chatham County","NC","Carpenter Family Papers"
"Dalton15"," W. C. Crawford "," Smallwood Jefferson Dalton ,  Rebecca Eskew Dalton ","January 6, 1862","","Independence County","AR","","Greenville County","SC","Dalton Family Papers, 1839-1904"
"Dalton15"," W. C. Crawford "," Smallwood Jefferson Dalton ,  Rebecca Eskew Dalton ","January 6, 1862","","Independence County","AR","","Greenville County","SC","Dalton Family Papers, 1839-1904"
