"Title","Author","Recipient","Date","","","From","","","To","Collection"
"Band79"," William  Band "," Mary Ann  Band ","March 22, 1863","Falmouth","","VT","Chester","Delaware County","PA","Band-Martin Papers"
"Hileman1"," Daniel J. Hileman "," Daniel  Hileman ","August 4, 1861","Centreville","Fairfax County","VT","","Rockbridge County","VA","Hileman Letters"
"Lantzy8"," Phillip A. Lantzy "," Joseph  Lantzy ","December 22, 1861","","Wayne County","VT","","Cambria County","PA","Phillip Lantzy Letters"
